url,review_text,star
https://www.amazon.co.jp/product-reviews/452802229X,"5名の方のこれまでをインタビューし、それを書き起こした形。

一つのことに夢中になって集中することは大事だと読めはするものの、あまりに突出した生まれ持った身体の強さを前提とした書き方と発言が断続的にあり、現実性に欠ける。「誰でも5倍を目指せる！」と言い切ってしまうあたり、笑ってしまう。

ただ、一名の方は上りに特化したあまり他を捨てたことに後悔を感じており、その部分は納得がいく。ヒルクライムのトップがこんな世界だとは分かったものの、重ねて言うが実際には無理な内容ばかりであるし、薄っぺらいので1〜2時間もあれば読み切ってしまう。

この先として、読み手側の目標設定にまで言及すればよかったものの、トップになるためのことしか書いていないため、これを読んだ翌日から何をすれば自らにとってベターなのか？とい自己評価には繋がらない内容。",1.0
https://www.amazon.co.jp/product-reviews/452802229X,"読み物としては非常に面白かったです。
ただ、いきなり専門用語が当たり前のように出てきます。
特にパワーメーター を使ったトレーニングに関する専門用語は知らない人には理解できないような内容です。
少なくとも知らない用語は調べることは必要です。

それを踏まえても、日本のトップクライマーの練習内容などを知る事ができますし、初心者時代の話も知る事ができるので、モチベーションアップに繋がりました。

練習内容も初心者がいきなり真似をできるものではありませんが、自分なりにエッセンスを取り入れれば役に立つと思いました。

これからヒルクライムに挑戦するレベルの方から、伸び悩んでいる方までお勧めできると思います。

専門用語の解説が少ないという理由で星マイナス1です。",4.0
https://www.amazon.co.jp/product-reviews/452802229X,"ヒルクライムレースに出る為に参考になると考え購入しました。
結論から言えば、初心者には不向き(全く参考にならない訳ではない)本格的にヒルクライムに取り組む人向きです。
なんせ日本を代表するボビーヒルクライマーの集まった本なので、練習内容が常人とは違います。
トップに君臨する人達は、誰にも負けないぐらい練習して居るのが分かります。

5人のヒルクライマーの方々が書いて居るので、自分に合ったタイプの練習方法を真似て見るのが良いかと思います。",5.0
https://www.amazon.co.jp/product-reviews/452802229X,"専門用語はちらほら出てきますが、調べればわかるレベルです
ヒルクライムやる身として、この本はこれからも重宝しようと思ってます",4.0
https://www.amazon.co.jp/product-reviews/452802229X,おもしろいですねー自分がトップクライマーになった気分になっちゃう。？ローラーどころか？、なーーーんにも運動してないけど！ うふ,5.0
https://www.amazon.co.jp/product-reviews/452802229X,"凄くいい内容で、今後のトレーニングの参考になりました(*^^*)
星一つの評価でレビュー書いてる人は、多分トレーニングしてない人じゃないかなww
ヒルクライムやってる人は読むべき本だと思う",5.0
https://www.amazon.co.jp/product-reviews/452802229X,"一纏めの技術書ではなく５選手各自の考え方、スタイルが読めたので参考になりました。
前の方のレヴューで、薄い内容だって書いてあったものもあり、少々不安ありで購入しましたが、トップレベルの方達の日頃のトレーニング方針みたいなのが覗けた感じがして面白かったです。",4.0
https://www.amazon.co.jp/product-reviews/452802229X,速くなれず、乗るのが嫌になりかけてた時、この本でモチベーションが上がりました！,5.0
https://www.amazon.co.jp/product-reviews/452802229X,とても興味深い記事がたくさん載っていました。参考になります。,5.0
https://www.amazon.co.jp/product-reviews/452802229X,過去の雑誌の情報を使いまわしているところがいくつもありガッカリした。当然トレーニング等には役に立たない。,1.0
https://www.amazon.co.jp/product-reviews/452802229X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2,"内容は文句なしの「５つ☆」ですが、表紙や各ページの紙質がとても硬くて重く、とても読みにくいので、その分をマイナスしました。
本棚に飾るのならば(本が自立するくらい硬い)、これでも良いですが、持ち歩いて、暇をみて読見返すには最悪の紙です。
もう少し柔らかい紙を使ってほしかった。＞出版社",3.0
https://www.amazon.co.jp/product-reviews/452802229X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2,"前作に引き続き、雑誌記事の寄せ集めという感じで内容が非常に薄い。

『これを読んで速くなろう』という人には向いておらず、大会上位者のインタビュー記事が好きな人は読んで見ても面白いかも？というレベルの本。",1.0
https://www.amazon.co.jp/product-reviews/452802229X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2,誰でも５倍、とか言い切ってますけどプロでも無い限り仕事・家庭とかの何かを犠牲にしているはず,1.0
https://www.amazon.co.jp/product-reviews/452802229X/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=2,この内容でしたら千円以内でおさめて欲しかったです。,2.0
https://www.amazon.co.jp/product-reviews/4788516144,石川さんの文章はとても読みやすく、そして、興味がどんどんそそられて、あっという間に読んでしまいます。子ども達がたくさん手にとってくれるといいな、と思います。,5.0
https://www.amazon.co.jp/product-reviews/4788516144,"石川直樹（1977年～）は、日本 5人目、世界 85人目の七大陸最高峰登頂（2001年、当時世界最年少記録） 、8000メートル峰5座（6回）登頂（エベレストに2回登頂）などの実績をもつ冒険家（本人は「冒険家」と言われることに違和感があると、本書では書いている）、写真家。
本書は、2006年に理論社から出版され、2011年にイーストプレスから復刊、2019年に新曜社から増補新版として再度復刊されたもの。
本書では、高校2年のときのインドとネパールの一人旅に始まり、大学1年のときのアラスカ・ユーコン川のカヌーでの単独川下り、1998年の北米最高峰のデナリ登頂、同年のミクロネシアでの伝統航海術の習得、1999年のアフリカ最高峰キリマンジャロ単独登頂、2000年の「Pole to Pole2000」参加（カナダの冒険家マーティン・ウィリアムスが企画したプロジェクトで、日本代表として世界7ヶ国の若者と共に9ヶ月間かけて北極点から南極点をスキー、自転車、カヤック、徒歩などの人力で踏破）、2001年の南極大陸最高峰ヴィンソン・マシフ登頂、同年の南米最高峰アコンカグア単独登頂、同年のエベレスト（北壁、チベットから）登頂、2004年の神田道夫氏に同行しての熱気球による太平洋横断挑戦（日本から1600キロ離れた地点で飛行を断念、着水）、2011年のエベレスト（南東稜、ネパールから）二度目の登頂の様子が、自ら撮影した多数の写真とともに、綴られている。
石川氏の幅広い好奇心と人間離れした行動力、そしてそれを表現する卓越した能力が凝縮された本書は、伝説の冒険家・植村直己氏の若き日を綴った名著『青春を山に賭けて』を彷彿とさせ、若者向けに書かれたものとはいえ、大人でも十分に楽しむことができる。
特に、石川氏が自分の歩んできた道のりを踏まえて「冒険とは何か？」を語った最終章の「生れたばかりの子どもにとって、世界は異質なものに溢れています。もともと知り得ていたものなど何もないので、あるがままの世界が発する声にただ耳を澄ますしかありません。・・・そういった意味で、子どもたちは究極の旅人であり冒険者だといえるでしょう。歳をとりながら、さまざまなものとの出会いを繰り返すことによって、人は世界と親しくなっていきます。・・・そうして世界がすでに自分の知っている世界になってしまったとき、あるがままの無限の世界は姿を変えて、ひどく小さなものになってしまいます。そのことを否定するつもりはまったくありませんし、自分もそうならないとは限りませんが、不断の冒険によって最後の最後まで旅を続けようと努力したいとぼくは思うのです。現実に何を体験するか、どこに行くかということはさして重要ではないのです。心を揺さぶる何かに向かいあっているか、ということがもっとも大切なことだとぼくは思います。」という文章は、大人こそ胸に刻みたい件である。
若者に限らず、若い心を保ちたい（或いは、取り戻したい）大人にとっても、魅力的な一冊と思う。
（2019年10月了）",4.0
https://www.amazon.co.jp/product-reviews/4861444616,"とにかく、宿の情報が少ないです。
載っているのはお金持ちのフルムーン旅行のCMになりそうな宿ばかりでは？
着替えも最低限、汗だくヘトヘトで、居酒屋でプハアーっとやってあとはグッスリ。朝は手軽にバイキング、そんな旅がしたいのですが。

・200キロを一日か二日で走りきる人へは、何パターンかのコース設定や休憩所、宿泊地
・三日か四日かけてのんびり旅をしたい人には、手頃な宿やおすすめ自撮りポイント（笑）
・自転車ラックを置いてある店、盗難への何らかの対策を講じている店、の情報
・車載で自転車を持って行く人へのおすすめの拠点（刊行物には書きづらいですかね？）

そういう記事にして欲しいですよね。
しまなみ編でも感じたのですが、あちらは島単位の区切りがあるのと、クルマで渡ったことがあるので自転車コースの情報だけでも充分走れましたが、このビワイチ編は土地勘がないので、どこをどう走ろう、という想像がわきにくいです。
食って買ってばかりで走る時間なさそうだし(笑)。
まあ雑誌の企画物という性格を考えると、土産物や食べ物の紹介が増えるのも理解できますけどね^^

それでも、いつか行こうと思いながら読んでる分には楽しいです。実行する段になったらネットで情報を補おうか、と思うことにいたします。

今のところ、畿内周辺のお勧めコースをポタリングするためだけに輪行や車載で行く気にはなりませんが、あれらをベースにして伊勢湾に出たり、金沢方面に伸したり、火野正平な気分になるのも楽しいです。

指南本と思って買うと不満も少なくありませんが、一枚ものの地図に距離も書いてあるのであれは使えそう。
その他のコースも行ってみたくなる感で★４にオマケ。",4.0
https://www.amazon.co.jp/product-reviews/4861444616,"ビワイチに特化した物の筈なのに内容はビワイチから外れた物ばかり。唯一ビワイチに関係するのは、マップだけです。
あとは、周辺の寄り道コースの紹介に終始しており、琵琶湖周辺に住んでいる人なら使い道もあるかも知れませんが、琵琶湖を一周する事自体を一大イベントと捉えて、わざわざ車や電車でやってくる自転車乗りを馬鹿にしています。
本屋で立ち読みしていたら絶対に買いませんでした",1.0
https://www.amazon.co.jp/product-reviews/4861444616,"いつかビワイチチャレンジしたい！
そんな夢を持つかたに最高の本です。カラーで、写真多く、地域の情報も多い。
地図も添付されています。
琵琶湖サイクリングロードは平坦な道が多く、実はビギナーにもおすすめです。
ロードバイク買ったらいつか、ではなく、今でしょ！",5.0
https://www.amazon.co.jp/product-reviews/4861444616,"ビワイチにチャレンジする予定の方に
オススメです
しちゃった方にも周辺の穴場も
紹介してあります
内容は思ったより濃いです",4.0
https://www.amazon.co.jp/product-reviews/4861444616,「えっ、こんなところもあるんだ！」と思うほど、色々な情報たっぷりの一冊。よく取材されてて、すごく内容も充実！買って良かったです！,5.0
https://www.amazon.co.jp/product-reviews/4861444616,情報量が多く写真も綺麗で是非チャレンジしたい気持ちになりました。,5.0
https://www.amazon.co.jp/product-reviews/4777955265,"スティールフレームのロードレーサーが、表舞台から姿消してしまった。カーボンのどこがいいのかな。レースは兎も角、ホビースポーツでやる分には、クロモリがいいと思う。パーツも機能ばかりで、魅力的な物は減った。
こう言う時代に、この特集は非常に評価出来る。ただ、残念なのは、各記事の初出が記載されていないことである。
記事を読んで興味を覚えて、更に調べようとした時、いつの時代か分からない。そのメーカーがまだあるのか、その人がまだ健在なのか、判断が付きにくい。自社の刊行物なので、調べるのは容易である筈。手抜きしては、いけません。",3.0
